Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code,COM,TYP_IRIS,MODIF_IRIS,LAB_IRIS,P19_POP
 Allée de la Communauté,1.0,79260,79260004,46.35519,-0.31186,Gazole,LA CRèCHE,1.4314,790480000,79048,Z,0,5,5820.0
 Allée de la Communauté,2.0,79260,79260004,46.35519,-0.31186,SP95,LA CRèCHE,1.5146,790480000,79048,Z,0,5,5820.0
 Allée de la Communauté,6.0,79260,79260004,46.35519,-0.31186,SP98,LA CRèCHE,1.5009230769230768,790480000,79048,Z,0,5,5820.0
 Autoroute de Normandie,1.0,14730,14730002,49.16711,-0.28803,Gazole,GIBERVILLE,1.591247191011236,143010103,14301,A,0,4,21.9594377986814
 Autoroute de Normandie,4.0,14730,14730002,49.16711,-0.28803,GPLc,GIBERVILLE,1.0286666666666668,143010103,14301,A,0,4,21.9594377986814
 Autoroute de Normandie,5.0,14730,14730002,49.16711,-0.28803,E10,GIBERVILLE,1.6351827956989249,143010103,14301,A,0,4,21.9594377986814
 Autoroute de Normandie,6.0,14730,14730002,49.16711,-0.28803,SP98,GIBERVILLE,1.7451827956989248,143010103,14301,A,0,4,21.9594377986814
AUTOROUTE A13 AIRE DE GIBERVILLE SUD,1.0,14730,14730001,49.16646,-0.27567,Gazole,Giberville,1.6465,143010103,14301,A,0,4,21.9594377986814
AUTOROUTE A13 AIRE DE GIBERVILLE SUD,5.0,14730,14730001,49.16646,-0.27567,E10,Giberville,1.6887894736842106,143010103,14301,A,0,4,21.9594377986814
 Avenue Alfred Court,1.0,47800,47800003,44.59548,0.35238,Gazole,MIRAMONT-DE-GUYENNE,1.4264242424242426,471680000,47168,Z,0,5,3092.0
 Avenue Alfred Court,2.0,47800,47800003,44.59548,0.35238,SP95,MIRAMONT-DE-GUYENNE,1.5121470588235295,471680000,47168,Z,0,5,3092.0
 Avenue Alfred Court,5.0,47800,47800003,44.59548,0.35238,E10,MIRAMONT-DE-GUYENNE,1.377,471680000,47168,Z,0,5,3092.0
 Avenue Alfred Court,6.0,47800,47800003,44.59548,0.35238,SP98,MIRAMONT-DE-GUYENNE,1.54095,471680000,47168,Z,0,5,3092.0
12 place Martignac,1.0,47800,47800004,44.6,0.359,Gazole,Miramont-de-Guyenne,1.5445555555555557,471680000,47168,Z,0,5,3092.0
12 place Martignac,2.0,47800,47800004,44.6,0.359,SP95,Miramont-de-Guyenne,1.6545555555555556,471680000,47168,Z,0,5,3092.0
12 place Martignac,6.0,47800,47800004,44.6,0.359,SP98,Miramont-de-Guyenne,1.686777777777778,471680000,47168,Z,0,5,3092.0
 Avenue Charles de Gaulle,1.0,29470,29470004,48.37935,-4.37494,Gazole,PLOUGASTEL-DAOULAS,1.420435294117647,291890106,29189,H,0,3,3202.38978410144
 Avenue Charles de Gaulle,2.0,29470,29470004,48.37935,-4.37494,SP95,PLOUGASTEL-DAOULAS,1.5086708860759492,291890106,29189,H,0,3,3202.38978410144
 Avenue Charles de Gaulle,5.0,29470,29470004,48.37935,-4.37494,E10,PLOUGASTEL-DAOULAS,1.4626756756756756,291890106,29189,H,0,3,3202.38978410144
 Avenue Charles de Gaulle,6.0,29470,29470004,48.37935,-4.37494,SP98,PLOUGASTEL-DAOULAS,1.543260273972603,291890106,29189,H,0,3,3202.38978410144
 Avenue Clément Pineau,1.0,79500,79500002,46.2273131865,-0.127154599946,Gazole,SAINT-LéGER-DE-LA-MARTINIèRE,1.4047608695652174,791740000,79174,Z,0,5,6173.0
 Avenue Clément Pineau,5.0,79500,79500002,46.2273131865,-0.127154599946,E10,SAINT-LéGER-DE-LA-MARTINIèRE,1.4624791666666668,791740000,79174,Z,0,5,6173.0
 Avenue Clément Pineau,6.0,79500,79500002,46.2273131865,-0.127154599946,SP98,SAINT-LéGER-DE-LA-MARTINIèRE,1.5424301075268818,791740000,79174,Z,0,5,6173.0
41 route de Poitiers,1.0,79500,79500005,46.224,-0.13,Gazole,Saint-Léger-de-la-Martinière,1.4022903225806451,791740000,79174,Z,0,5,6173.0
41 route de Poitiers,2.0,79500,79500005,46.224,-0.13,SP95,Saint-Léger-de-la-Martinière,1.5033571428571428,791740000,79174,Z,0,5,6173.0
41 route de Poitiers,4.0,79500,79500005,46.224,-0.13,GPLc,Saint-Léger-de-la-Martinière,0.8884285714285715,791740000,79174,Z,0,5,6173.0
