Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code
 Allée de la Communauté,1.0,79260,79260004,46.35519,-0.31186,Gazole,LA CRèCHE,1.80624,790480000
 Allée de la Communauté,2.0,79260,79260004,46.35519,-0.31186,SP95,LA CRèCHE,1.884217391304348,790480000
 Allée de la Communauté,6.0,79260,79260004,46.35519,-0.31186,SP98,LA CRèCHE,1.8674166666666665,790480000
 Avenue Alfred Court,1.0,47800,47800003,44.59548,0.35238,Gazole,MIRAMONT-DE-GUYENNE,1.7882608695652171,471680000
 Avenue Alfred Court,2.0,47800,47800003,44.59548,0.35238,SP95,MIRAMONT-DE-GUYENNE,1.8744259259259255,471680000
 Avenue Alfred Court,6.0,47800,47800003,44.59548,0.35238,SP98,MIRAMONT-DE-GUYENNE,1.9047,471680000
12 place Martignac,1.0,47800,47800004,44.6,0.359,Gazole,Miramont-de-Guyenne,1.912642857142857,471680000
12 place Martignac,2.0,47800,47800004,44.6,0.359,SP95,Miramont-de-Guyenne,1.9824,471680000
 Avenue Charles de Gaulle,1.0,29470,29470004,48.37935,-4.37494,Gazole,PLOUGASTEL-DAOULAS,1.7887014925373137,291890106
 Avenue Charles de Gaulle,2.0,29470,29470004,48.37935,-4.37494,SP95,PLOUGASTEL-DAOULAS,1.8828142857142856,291890106
 Avenue Charles de Gaulle,5.0,29470,29470004,48.37935,-4.37494,E10,PLOUGASTEL-DAOULAS,1.8468235294117648,291890106
 Avenue Charles de Gaulle,6.0,29470,29470004,48.37935,-4.37494,SP98,PLOUGASTEL-DAOULAS,1.91556,291890106
 Avenue Gabriel Faure,1.0,9500,9500002,43.08856,1.86719,Gazole,MIREPOIX,1.846470588235294,091940000
 Avenue Gabriel Faure,2.0,9500,9500002,43.08856,1.86719,SP95,MIREPOIX,1.978125,091940000
 Avenue Gabriel Faure,6.0,9500,9500002,43.08856,1.86719,SP98,MIREPOIX,2.009375,091940000
13 avenue CHARLES DE GAULLE,1.0,9500,9500003,43.084,1.877,Gazole,MIREPOIX,1.7649290322580646,091940000
13 avenue CHARLES DE GAULLE,2.0,9500,9500003,43.084,1.877,SP95,MIREPOIX,1.8788306451612904,091940000
13 avenue CHARLES DE GAULLE,3.0,9500,9500003,43.084,1.877,E85,MIREPOIX,1.0622058823529412,091940000
13 avenue CHARLES DE GAULLE,5.0,9500,9500003,43.084,1.877,E10,MIREPOIX,1.836855072463768,091940000
13 avenue CHARLES DE GAULLE,6.0,9500,9500003,43.084,1.877,SP98,MIREPOIX,1.9105530303030305,091940000
247 AV CHARLES DE GAULLE,1.0,9500,9500001,43.085,1.876,Gazole,Mirepoix,1.7863529411764705,091940000
247 AV CHARLES DE GAULLE,3.0,9500,9500001,43.085,1.876,E85,Mirepoix,1.057392857142857,091940000
247 AV CHARLES DE GAULLE,5.0,9500,9500001,43.085,1.876,E10,Mirepoix,1.847858407079646,091940000
247 AV CHARLES DE GAULLE,6.0,9500,9500001,43.085,1.876,SP98,Mirepoix,1.9321938775510203,091940000
 Avenue Georges Besse,1.0,62520,62520001,50.51152,1.62056,Gazole,LE TOUQUET-PARIS-PLAGE,1.8139375,628260102
 Avenue Georges Besse,5.0,62520,62520001,50.51152,1.62056,E10,LE TOUQUET-PARIS-PLAGE,1.87225,628260102
 Avenue Georges Besse,6.0,62520,62520001,50.51152,1.62056,SP98,LE TOUQUET-PARIS-PLAGE,1.920625,628260102
AVENUE FRANCOIS GODIN,1.0,62780,62780003,50.4946,1.59569,Gazole,CUCQ,1.7774180327868851,628260102
AVENUE FRANCOIS GODIN,3.0,62780,62780003,50.4946,1.59569,E85,CUCQ,1.0494,628260102
AVENUE FRANCOIS GODIN,5.0,62780,62780003,50.4946,1.59569,E10,CUCQ,1.8170816326530612,628260102
AVENUE FRANCOIS GODIN,6.0,62780,62780003,50.4946,1.59569,SP98,CUCQ,1.8805243902439024,628260102
 Avenue Georges Clemenceau,1.0,63600,63600003,45.55219,3.73976,Gazole,AMBERT,1.9104761904761904,630030101
 Avenue Georges Clemenceau,5.0,63600,63600003,45.55219,3.73976,E10,AMBERT,1.968809523809524,630030101
 Avenue Georges Clemenceau,6.0,63600,63600003,45.55219,3.73976,SP98,AMBERT,1.9954761904761904,630030101
 Avenue Georges Clemenceau,1.0,76190,76190005,49.62113,0.76692,Gazole,YVETOT,1.8250714285714285,767580103
 Avenue Georges Clemenceau,2.0,76190,76190005,49.62113,0.76692,SP95,YVETOT,1.964384615384616,767580103
 Avenue Georges Clemenceau,6.0,76190,76190005,49.62113,0.76692,SP98,YVETOT,1.9831666666666667,767580103
Rue Jean Moulin,1.0,76190,76191001,49.612,0.775,Gazole,YVETOT,1.760857142857143,767580103
Rue Jean Moulin,2.0,76190,76191001,49.612,0.775,SP95,YVETOT,1.8451168831168836,767580103
Rue Jean Moulin,3.0,76190,76191001,49.612,0.775,E85,YVETOT,0.9972258064516129,767580103
Rue Jean Moulin,4.0,76190,76191001,49.612,0.775,GPLc,YVETOT,0.9455897435897436,767580103
Rue Jean Moulin,5.0,76190,76191001,49.612,0.775,E10,YVETOT,1.8001046511627907,767580103
Rue Jean Moulin,6.0,76190,76191001,49.612,0.775,SP98,YVETOT,1.880307692307692,767580103
 Avenue Jean Moulin,1.0,87400,87400003,45.83253,1.49798,Gazole,SAINT-LéONARD-DE-NOBLAT,1.8295405405405405,871610101
 Avenue Jean Moulin,3.0,87400,87400003,45.83253,1.49798,E85,SAINT-LéONARD-DE-NOBLAT,1.1391428571428572,871610101
 Avenue Jean Moulin,5.0,87400,87400003,45.83253,1.49798,E10,SAINT-LéONARD-DE-NOBLAT,1.8972,871610101
 Avenue Jean Moulin,6.0,87400,87400003,45.83253,1.49798,SP98,SAINT-LéONARD-DE-NOBLAT,1.9828,871610101
 Avenue Marie Curie,1.0,12150,12150004,44.32524,3.06544,Gazole,SéVéRAC-LE-CHâTEAU,1.797205882352941,122700000
 Avenue Marie Curie,5.0,12150,12150004,44.32524,3.06544,E10,SéVéRAC-LE-CHâTEAU,1.840121951219512,122700000
 Avenue Marie Curie,6.0,12150,12150004,44.32524,3.06544,SP98,SéVéRAC-LE-CHâTEAU,1.9104,122700000
37 AVENUE DE PARIS,1.0,12150,12150007,44.329328023608994,3.069316338544,Gazole,Sévérac d'Aveyron,1.7956486486486485,122700000
37 AVENUE DE PARIS,2.0,12150,12150007,44.329328023608994,3.069316338544,SP95,Sévérac d'Aveyron,1.89328,122700000
AUTOROUTE A75 - AIRE DE L'AVEYRON,1.0,12150,12150006,44.33,3.082,Gazole,Sévérac-le-Château,1.9735889570552148,122700000
AUTOROUTE A75 - AIRE DE L'AVEYRON,3.0,12150,12150006,44.33,3.082,E85,Sévérac-le-Château,1.259,122700000
AUTOROUTE A75 - AIRE DE L'AVEYRON,4.0,12150,12150006,44.33,3.082,GPLc,Sévérac-le-Château,1.054,122700000
AUTOROUTE A75 - AIRE DE L'AVEYRON,5.0,12150,12150006,44.33,3.082,E10,Sévérac-le-Château,2.004710769230769,122700000
AUTOROUTE A75 - AIRE DE L'AVEYRON,6.0,12150,12150006,44.33,3.082,SP98,Sévérac-le-Château,2.0485015384615384,122700000
Rue du General de Gaulle,1.0,12150,12150003,44.3197,3.06825,Gazole,Sévérac-le-Château,1.7881698113207547,122700000
Rue du General de Gaulle,2.0,12150,12150003,44.3197,3.06825,SP95,Sévérac-le-Château,1.850307692307692,122700000
Rue du General de Gaulle,6.0,12150,12150003,44.3197,3.06825,SP98,Sévérac-le-Château,1.90325,122700000
ZA le Plâ d'Aveyron RN88,1.0,12150,12150005,44.351,2.972,Gazole,Recoules-Prévinquières,1.8135818181818184,122700000
ZA le Plâ d'Aveyron RN88,2.0,12150,12150005,44.351,2.972,SP95,Recoules-Prévinquières,1.922793103448276,122700000
ZA le Plâ d'Aveyron RN88,3.0,12150,12150005,44.351,2.972,E85,Recoules-Prévinquières,1.1391428571428572,122700000
 Avenue Maréchal de Lattre de Tassigny,1.0,88500,88500004,48.29234,6.13127,Gazole,MIRECOURT,1.8501386861313869,883040101
 Avenue Maréchal de Lattre de Tassigny,5.0,88500,88500004,48.29234,6.13127,E10,MIRECOURT,1.8605736434108529,883040101
 Avenue Maréchal de Lattre de Tassigny,6.0,88500,88500004,48.29234,6.13127,SP98,MIRECOURT,1.9413052631578949,883040101
 Avenue de Bagnac,1.0,15600,15600001,44.7065,2.19514,Gazole,MAURS,1.891230769230769,151220000
 Avenue de Bagnac,4.0,15600,15600001,44.7065,2.19514,GPLc,MAURS,1.0134,151220000
 Avenue de Bagnac,5.0,15600,15600001,44.7065,2.19514,E10,MAURS,1.9422,151220000
 Avenue de Bagnac,6.0,15600,15600001,44.7065,2.19514,SP98,MAURS,1.9937083333333332,151220000
 Avenue de Bordeaux,1.0,33680,33680005,44.97648,-1.06512,Gazole,LACANAU,1.7864817518248175,332140000
