Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur
 Allée de la Communauté,1.0,79260,79260004,4635519.0,-31186.0,Gazole,LA CRèCHE,1.8062399999999998
 Allée de la Communauté,2.0,79260,79260004,4635519.0,-31186.0,SP95,LA CRèCHE,1.884217391304348
 Allée de la Communauté,6.0,79260,79260004,4635519.0,-31186.0,SP98,LA CRèCHE,1.8674166666666665
 Avenue Alfred Court,1.0,47800,47800003,4459548.0,35238.0,Gazole,MIRAMONT-DE-GUYENNE,1.7882608695652173
 Avenue Alfred Court,2.0,47800,47800003,4459548.0,35238.0,SP95,MIRAMONT-DE-GUYENNE,1.8744259259259257
 Avenue Alfred Court,6.0,47800,47800003,4459548.0,35238.0,SP98,MIRAMONT-DE-GUYENNE,1.9047
 Avenue Charles de Gaulle,1.0,29470,29470004,4837935.0,-437494.0,Gazole,PLOUGASTEL-DAOULAS,1.7887014925373135
 Avenue Charles de Gaulle,2.0,29470,29470004,4837935.0,-437494.0,SP95,PLOUGASTEL-DAOULAS,1.8828142857142858
 Avenue Charles de Gaulle,5.0,29470,29470004,4837935.0,-437494.0,E10,PLOUGASTEL-DAOULAS,1.8468235294117648
 Avenue Charles de Gaulle,6.0,29470,29470004,4837935.0,-437494.0,SP98,PLOUGASTEL-DAOULAS,1.9155600000000002
 Avenue Gabriel Faure,1.0,09500,9500002,4308856.0,186719.0,Gazole,MIREPOIX,1.846470588235294
 Avenue Gabriel Faure,2.0,09500,9500002,4308856.0,186719.0,SP95,MIREPOIX,1.978125
 Avenue Gabriel Faure,6.0,09500,9500002,4308856.0,186719.0,SP98,MIREPOIX,2.009375
 Avenue Georges Besse,1.0,62520,62520001,5051152.0,162056.0,Gazole,LE TOUQUET-PARIS-PLAGE,1.8139375
 Avenue Georges Besse,5.0,62520,62520001,5051152.0,162056.0,E10,LE TOUQUET-PARIS-PLAGE,1.87225
 Avenue Georges Besse,6.0,62520,62520001,5051152.0,162056.0,SP98,LE TOUQUET-PARIS-PLAGE,1.920625
 Avenue Georges Clemenceau,1.0,63600,63600003,4555219.0,373976.0,Gazole,AMBERT,1.9104761904761904
 Avenue Georges Clemenceau,1.0,76190,76190005,4962113.0,76692.0,Gazole,YVETOT,1.8250714285714285
 Avenue Georges Clemenceau,2.0,76190,76190005,4962113.0,76692.0,SP95,YVETOT,1.9643846153846156
 Avenue Georges Clemenceau,5.0,63600,63600003,4555219.0,373976.0,E10,AMBERT,1.9688095238095238
 Avenue Georges Clemenceau,6.0,63600,63600003,4555219.0,373976.0,SP98,AMBERT,1.9954761904761906
 Avenue Georges Clemenceau,6.0,76190,76190005,4962113.0,76692.0,SP98,YVETOT,1.9831666666666667
 Avenue Jean Moulin,1.0,87400,87400003,4583253.0,149798.0,Gazole,SAINT-LéONARD-DE-NOBLAT,1.8295405405405405
 Avenue Jean Moulin,3.0,87400,87400003,4583253.0,149798.0,E85,SAINT-LéONARD-DE-NOBLAT,1.1391428571428572
 Avenue Jean Moulin,5.0,87400,87400003,4583253.0,149798.0,E10,SAINT-LéONARD-DE-NOBLAT,1.8972000000000002
 Avenue Jean Moulin,6.0,87400,87400003,4583253.0,149798.0,SP98,SAINT-LéONARD-DE-NOBLAT,1.9828000000000001
 Avenue Marie Curie,1.0,12150,12150004,4432524.0,306544.0,Gazole,SéVéRAC-LE-CHâTEAU,1.797205882352941
 Avenue Marie Curie,5.0,12150,12150004,4432524.0,306544.0,E10,SéVéRAC-LE-CHâTEAU,1.840121951219512
 Avenue Marie Curie,6.0,12150,12150004,4432524.0,306544.0,SP98,SéVéRAC-LE-CHâTEAU,1.9104
 Avenue Maréchal de Lattre de Tassigny,1.0,88500,88500004,4829234.0,613127.0,Gazole,MIRECOURT,1.8501386861313869
 Avenue Maréchal de Lattre de Tassigny,5.0,88500,88500004,4829234.0,613127.0,E10,MIRECOURT,1.8605736434108529
 Avenue Maréchal de Lattre de Tassigny,6.0,88500,88500004,4829234.0,613127.0,SP98,MIRECOURT,1.9413052631578949
 Avenue de Bagnac,1.0,15600,15600001,4470650.0,219514.0,Gazole,MAURS,1.891230769230769
 Avenue de Bagnac,4.0,15600,15600001,4470650.0,219514.0,GPLc,MAURS,1.0133999999999999
 Avenue de Bagnac,5.0,15600,15600001,4470650.0,219514.0,E10,MAURS,1.9422
 Avenue de Bagnac,6.0,15600,15600001,4470650.0,219514.0,SP98,MAURS,1.9937083333333334
 Avenue de Bordeaux,1.0,33680,33680005,4497648.0,-106512.0,Gazole,LACANAU,1.7864817518248175
 Avenue de Bordeaux,2.0,33680,33680005,4497648.0,-106512.0,SP95,LACANAU,1.875543859649123
 Avenue de Bordeaux,3.0,33680,33680005,4497648.0,-106512.0,E85,LACANAU,1.0354038461538462
 Avenue de Bordeaux,4.0,33680,33680005,4497648.0,-106512.0,GPLc,LACANAU,0.8346279069767443
 Avenue de Bordeaux,5.0,33680,33680005,4497648.0,-106512.0,E10,LACANAU,1.8387118644067795
 Avenue de Brédasque,1.0,13090,13097001,4353556.0,541340.0,Gazole,AIX-EN-PROVENCE,1.7850732984293194
 Avenue de Brédasque,4.0,13090,13097001,4353556.0,541340.0,GPLc,AIX-EN-PROVENCE,0.987716577540107
 Avenue de Brédasque,5.0,13090,13097001,4353556.0,541340.0,E10,AIX-EN-PROVENCE,1.844723404255319
 Avenue de Brédasque,6.0,13090,13097001,4353556.0,541340.0,SP98,AIX-EN-PROVENCE,1.9412864583333336
 Avenue de Conthe,1.0,15000,15000012,4491394.0,242741.0,Gazole,AURILLAC,1.8761111111111108
 Avenue de Conthe,2.0,15000,15000012,4491394.0,242741.0,SP95,AURILLAC,1.9108333333333334
 Avenue de Conthe,3.0,15000,15000012,4491394.0,242741.0,E85,AURILLAC,1.0683333333333334
 Avenue de Conthe,4.0,15000,15000012,4491394.0,242741.0,GPLc,AURILLAC,1.05
